Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.083/1.464,0.083/1.464,0.083/1.464,0.083/1.464,0.083/1.464,0.083/1.464,0.083/1.464
LRU,0.040/1.533,0.040/1.533,0.040/1.533,0.040/1.533,0.040/1.533,0.040/1.533,0.040/1.533
Marker,0.047/1.522,0.047/1.522,0.047/1.522,0.047/1.522,0.047/1.522,0.047/1.522,0.047/1.522
OnlineMin,0.086/1.459,0.086/1.459,0.086/1.459,0.086/1.459,0.086/1.459,0.086/1.459,0.086/1.459
Predict[Belady],0.374/1.000,0.343/1.050,0.323/1.081,0.311/1.100,0.306/1.109,0.304/1.112,0.302/1.114
PredMark[Belady],0.089/1.455,0.072/1.482,0.066/1.492,0.062/1.497,0.061/1.500,0.060/1.502,0.060/1.502
LMarker[Belady],0.089/1.455,0.071/1.484,0.063/1.496,0.060/1.501,0.059/1.504,0.058/1.504,0.058/1.504
LNonMarker[Belady],0.090/1.454,0.081/1.469,0.076/1.476,0.072/1.482,0.072/1.483,0.071/1.484,0.071/1.484
FollowerRobust[OracleState],0.374/1.000,0.121/1.403,0.100/1.438,0.090/1.453,0.086/1.459,0.084/1.463,0.085/1.462
PredictiveOnlineMin[Belady]-msf-100,0.374/1.000,0.217/1.251,0.173/1.321,0.148/1.361,0.142/1.371,0.139/1.375,0.138/1.377
RPB-OnlineMin[Belady]-msf-100-pb-0,0.374/1.000,0.215/1.253,0.173/1.321,0.150/1.358,0.143/1.369,0.139/1.376,0.138/1.377
RPB-OnlineMin[Belady]-msf-100-pb-1,0.374/1.000,0.218/1.250,0.173/1.321,0.150/1.358,0.142/1.370,0.140/1.373,0.137/1.378
RPB-OnlineMin[Belady]-msf-100-pb-2,0.374/1.000,0.216/1.253,0.174/1.320,0.150/1.357,0.142/1.370,0.140/1.374,0.137/1.379
RPB-OnlineMin[Belady]-msf-100-pb-4,0.374/1.000,0.218/1.249,0.176/1.317,0.150/1.358,0.143/1.368,0.141/1.373,0.138/1.378
RPB-OnlineMin[Belady]-msf-100-pb-5,0.374/1.000,0.219/1.247,0.174/1.319,0.153/1.353,0.145/1.366,0.139/1.376,0.139/1.376
RPB-OnlineMin[Belady]-msf-100-pb-10,0.374/1.000,0.220/1.246,0.175/1.318,0.150/1.357,0.146/1.364,0.141/1.372,0.138/1.376
RPB-OnlineMin[Belady]-msf-100-pb-20,0.374/1.000,0.219/1.247,0.176/1.317,0.152/1.354,0.145/1.365,0.142/1.370,0.139/1.375
RPB-OnlineMin[Belady]-msf-100-pb-50,0.374/1.000,0.228/1.234,0.184/1.303,0.158/1.344,0.152/1.355,0.144/1.366,0.145/1.365
RPB-OnlineMin[Belady]-msf-100-pb-100,0.374/1.000,0.237/1.218,0.193/1.289,0.167/1.331,0.159/1.344,0.155/1.349,0.153/1.353
RPB-OnlineMin[Belady]-msf-100-pb-200,0.374/1.000,0.256/1.189,0.209/1.263,0.185/1.302,0.174/1.319,0.170/1.326,0.169/1.328
RPB-OnlineMin[Belady]-msf-100-pb-500,0.374/1.000,0.265/1.174,0.231/1.229,0.211/1.260,0.203/1.273,0.200/1.278,0.198/1.281
RPB-OnlineMin[Belady]-msf-100-pb-1000,0.374/1.000,0.264/1.175,0.231/1.229,0.212/1.259,0.205/1.270,0.200/1.278,0.199/1.280
"CombDet[Predict[Belady], LRU]",0.374/1.000,0.343/1.050,0.324/1.081,0.310/1.101,0.306/1.108,0.303/1.113,0.302/1.115
"CombineRandom[Predict[Belady], LRU]",0.374/1.000,0.342/1.051,0.323/1.082,0.307/1.106,0.307/1.106,0.301/1.117,0.301/1.117
