Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,11943,132313,144256,0.0828,1.465
LRU,5787,138469,144256,0.0401,1.533
Marker,6821,137435,144256,0.0473,1.522
OnlineMin,12639,131617,144256,0.0876,1.457
Predict[LRB],31786,112470,144256,0.2203,1.245
Mark0[LRB],22826,121430,144256,0.1582,1.345
PredictiveOnlineMin[LRB]-msf-100,23280,120976,144256,0.1614,1.340
RPB-OnlineMin[LRB]-msf-100-pb-0,23428,120828,144256,0.1624,1.338
RPB-OnlineMin[LRB]-msf-100-pb-1,23353,120903,144256,0.1619,1.339
RPB-OnlineMin[LRB]-msf-100-pb-2,23381,120875,144256,0.1621,1.338
RPB-OnlineMin[LRB]-msf-100-pb-4,23285,120971,144256,0.1614,1.339
"CombDet[Predict[LRB], LRU]",31638,112618,144256,0.2193,1.247
"CombineRandom[Predict[LRB], LRU]",31413,112843,144256,0.2178,1.249
