Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,12012,132244,144256,0.0833,1.464
LRU,5787,138469,144256,0.0401,1.533
Marker,6794,137462,144256,0.0471,1.522
OnlineMin,12634,131622,144256,0.0876,1.457
Predict[PLECO],33411,110845,144256,0.2316,1.227
PredMark[PLECO],7966,136290,144256,0.0552,1.509
LMarker[PLECO],7997,136259,144256,0.0554,1.509
LNonMarker[PLECO],8937,135319,144256,0.062,1.498
FollowerRobust[PLECOState],8620,135636,144256,0.0598,1.502
PredictiveOnlineMin[PLECO]-msf-100,22025,122231,144256,0.1527,1.353
RPB-OnlineMin[PLECO]-msf-100-pb-0,21985,122271,144256,0.1524,1.354
RPB-OnlineMin[PLECO]-msf-100-pb-1,24853,119403,144256,0.1723,1.322
RPB-OnlineMin[PLECO]-msf-100-pb-2,24853,119403,144256,0.1723,1.322
RPB-OnlineMin[PLECO]-msf-100-pb-4,24853,119403,144256,0.1723,1.322
RPB-OnlineMin[PLECO]-msf-100-pb-8,24853,119403,144256,0.1723,1.322
RPB-OnlineMin[PLECO]-msf-100-pb-16,24853,119403,144256,0.1723,1.322
"CombDet[Predict[PLECO], LRU]",33411,110845,144256,0.2316,1.227
"CombineRandom[Predict[PLECO], LRU]",32362,111894,144256,0.2243,1.239
