Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,12039,132217,144256,0.0835,1.464
LRU,5787,138469,144256,0.0401,1.533
Marker,6860,137396,144256,0.0476,1.521
OnlineMin,12518,131738,144256,0.0868,1.459
Predict[POPU],47863,96393,144256,0.3318,1.067
PredMark[POPU],9822,134434,144256,0.0681,1.489
LMarker[POPU],9846,134410,144256,0.0683,1.488
LNonMarker[POPU],11068,133188,144256,0.0767,1.475
FollowerRobust[POPUState],14644,129612,144256,0.1015,1.435
PredictiveOnlineMin[POPU]-msf-100,28742,115514,144256,0.1992,1.279
RPB-OnlineMin[POPU]-msf-100-pb-0,28740,115516,144256,0.1992,1.279
RPB-OnlineMin[POPU]-msf-100-pb-1,29183,115073,144256,0.2023,1.274
RPB-OnlineMin[POPU]-msf-100-pb-2,29183,115073,144256,0.2023,1.274
RPB-OnlineMin[POPU]-msf-100-pb-4,29183,115073,144256,0.2023,1.274
RPB-OnlineMin[POPU]-msf-100-pb-8,29183,115073,144256,0.2023,1.274
RPB-OnlineMin[POPU]-msf-100-pb-16,29183,115073,144256,0.2023,1.274
"CombDet[Predict[POPU], LRU]",47863,96393,144256,0.3318,1.067
"CombineRandom[Predict[POPU], LRU]",47656,96600,144256,0.3304,1.070
