Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,3491,67805,71296,0.049,1.000
Rand,151,71145,71296,0.0021,1.049
LRU,0,71296,71296,0.0,1.051
Marker,0,71296,71296,0.0,1.051
OnlineMin,19,71277,71296,0.0003,1.051
Predict[LRB],3490,67806,71296,0.049,1.000
Mark0[LRB],3490,67806,71296,0.049,1.000
PredictiveOnlineMin[LRB]-msf-100,3489,67807,71296,0.0489,1.000
RPB-OnlineMin[LRB]-msf-100-pb-0,3490,67806,71296,0.049,1.000
RPB-OnlineMin[LRB]-msf-100-pb-1,3490,67806,71296,0.049,1.000
RPB-OnlineMin[LRB]-msf-100-pb-2,3490,67806,71296,0.049,1.000
RPB-OnlineMin[LRB]-msf-100-pb-4,3490,67806,71296,0.049,1.000
"CombDet[Predict[LRB], LRU]",3490,67806,71296,0.049,1.000
"CombineRandom[Predict[LRB], LRU]",3490,67806,71296,0.049,1.000
