Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.590/2.137,0.590/2.137,0.590/2.137,0.590/2.137,0.590/2.137,0.590/2.137,0.590/2.137
LRU,0.638/1.886,0.638/1.886,0.638/1.886,0.638/1.886,0.638/1.886,0.638/1.886,0.638/1.886
Marker,0.631/1.923,0.631/1.923,0.631/1.923,0.631/1.923,0.631/1.923,0.631/1.923,0.631/1.923
OnlineMin,0.609/2.038,0.609/2.038,0.609/2.038,0.609/2.038,0.609/2.038,0.609/2.038,0.609/2.038
Predict[Belady],0.808/1.000,0.717/1.478,0.653/1.808,0.611/2.027,0.598/2.096,0.589/2.145,0.584/2.166
PredMark[Belady],0.740/1.355,0.681/1.663,0.661/1.768,0.651/1.820,0.649/1.826,0.645/1.849,0.649/1.829
LMarker[Belady],0.740/1.355,0.660/1.774,0.645/1.851,0.636/1.895,0.635/1.900,0.636/1.895,0.636/1.897
LNonMarker[Belady],0.737/1.371,0.672/1.710,0.654/1.802,0.644/1.855,0.649/1.828,0.643/1.858,0.638/1.884
FollowerRobust[OracleState],0.808/1.000,0.648/1.832,0.623/1.963,0.617/1.998,0.613/2.015,0.615/2.009,0.612/2.023
PredictiveOnlineMin[Belady]-msf-100,0.808/1.000,0.644/1.854,0.618/1.994,0.611/2.028,0.605/2.059,0.613/2.015,0.606/2.053
RPB-OnlineMin[Belady]-msf-100-pb-0,0.808/1.000,0.639/1.879,0.613/2.016,0.609/2.038,0.612/2.024,0.609/2.037,0.613/2.015
RPB-OnlineMin[Belady]-msf-100-pb-1,0.808/1.000,0.672/1.709,0.631/1.925,0.619/1.984,0.615/2.004,0.612/2.021,0.620/1.979
RPB-OnlineMin[Belady]-msf-100-pb-2,0.808/1.000,0.694/1.594,0.644/1.854,0.631/1.922,0.627/1.943,0.625/1.955,0.629/1.935
RPB-OnlineMin[Belady]-msf-100-pb-4,0.808/1.000,0.700/1.566,0.661/1.767,0.643/1.862,0.633/1.913,0.636/1.898,0.637/1.889
RPB-OnlineMin[Belady]-msf-100-pb-5,0.808/1.000,0.698/1.574,0.662/1.761,0.645/1.850,0.639/1.882,0.638/1.888,0.635/1.902
"CombDet[Predict[Belady], LRU]",0.808/1.000,0.708/1.521,0.647/1.842,0.632/1.918,0.632/1.916,0.631/1.922,0.630/1.926
"CombineRandom[Predict[Belady], LRU]",0.808/1.000,0.707/1.528,0.650/1.824,0.613/2.017,0.601/2.081,0.597/2.102,0.599/2.089
