Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,16938,4022,20960,0.8081,1.000
Rand,12367,8593,20960,0.59,2.136
LRU,13375,7585,20960,0.6381,1.886
Marker,13180,7780,20960,0.6288,1.934
OnlineMin,12727,8233,20960,0.6072,2.047
Predict[LRB],12791,8169,20960,0.6103,2.031
Mark0[LRB],13501,7459,20960,0.6441,1.855
PredictiveOnlineMin[LRB]-msf-100,13249,7711,20960,0.6321,1.917
RPB-OnlineMin[LRB]-msf-100-pb-0,13131,7829,20960,0.6265,1.947
RPB-OnlineMin[LRB]-msf-100-pb-1,13190,7770,20960,0.6293,1.932
RPB-OnlineMin[LRB]-msf-100-pb-2,13262,7698,20960,0.6327,1.914
RPB-OnlineMin[LRB]-msf-100-pb-4,13197,7763,20960,0.6296,1.930
"CombDet[Predict[LRB], LRU]",13222,7738,20960,0.6308,1.924
"CombineRandom[Predict[LRB], LRU]",12917,8043,20960,0.6163,2.000
