Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,16938,4022,20960,0.8081,1.000
Rand,12394,8566,20960,0.5913,2.130
LRU,13375,7585,20960,0.6381,1.886
Marker,13250,7710,20960,0.6322,1.917
OnlineMin,12761,8199,20960,0.6088,2.039
Predict[PLECO],10803,10157,20960,0.5154,2.525
PredMark[PLECO],12997,7963,20960,0.6201,1.980
LMarker[PLECO],13038,7922,20960,0.622,1.970
LNonMarker[PLECO],12892,8068,20960,0.6151,2.006
FollowerRobust[PLECOState],12858,8102,20960,0.6135,2.014
PredictiveOnlineMin[PLECO]-msf-100,12964,7996,20960,0.6185,1.988
RPB-OnlineMin[PLECO]-msf-100-pb-0,12975,7985,20960,0.619,1.985
RPB-OnlineMin[PLECO]-msf-100-pb-1,12885,8075,20960,0.6147,2.008
RPB-OnlineMin[PLECO]-msf-100-pb-2,12813,8147,20960,0.6113,2.026
RPB-OnlineMin[PLECO]-msf-100-pb-4,12729,8231,20960,0.6073,2.046
RPB-OnlineMin[PLECO]-msf-100-pb-8,12734,8226,20960,0.6075,2.045
RPB-OnlineMin[PLECO]-msf-100-pb-16,12734,8226,20960,0.6075,2.045
RPB-OM-A[PLECO]-msf-100-pb-0,12944,8016,20960,0.6176,1.993
RPB-OM-A[PLECO]-msf-100-pb-1,12953,8007,20960,0.618,1.991
RPB-OM-A[PLECO]-msf-100-pb-2,12920,8040,20960,0.6164,1.999
RPB-OM-A[PLECO]-msf-100-pb-4,12895,8065,20960,0.6152,2.005
RPB-OM-A[PLECO]-msf-100-pb-8,12959,8001,20960,0.6183,1.989
RPB-OM-A[PLECO]-msf-100-pb-16,12859,8101,20960,0.6135,2.014
RPB-OM-A-sum[PLECO]-msf-100-pb-0,12930,8030,20960,0.6169,1.997
RPB-OM-A-sum[PLECO]-msf-100-pb-1,12926,8034,20960,0.6167,1.998
RPB-OM-A-sum[PLECO]-msf-100-pb-4,12972,7988,20960,0.6189,1.986
RPB-OM-A-sum[PLECO]-msf-100-pb-16,12928,8032,20960,0.6168,1.997
RPB-OM-A-pr[PLECO]-msf-100-pb-0,12921,8039,20960,0.6165,1.999
RPB-OM-A-pr[PLECO]-msf-100-pb-1,12851,8109,20960,0.6131,2.016
RPB-OM-A-pr[PLECO]-msf-100-pb-4,12923,8037,20960,0.6166,1.998
RPB-OM-A-pr[PLECO]-msf-100-pb-16,12819,8141,20960,0.6116,2.024
RPB-OM-B[PLECO]-msf-100-pb-0-c-2.0,13009,7951,20960,0.6207,1.977
RPB-OM-B[PLECO]-msf-100-pb-1-c-2.0,12963,7997,20960,0.6185,1.988
RPB-OM-B[PLECO]-msf-100-pb-4-c-2.0,12928,8032,20960,0.6168,1.997
RPB-OM-B[PLECO]-msf-100-pb-16-c-2.0,12885,8075,20960,0.6147,2.008
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.5,12911,8049,20960,0.616,2.001
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.2,12781,8179,20960,0.6098,2.034
"CombDet[Predict[PLECO], LRU]",13265,7695,20960,0.6329,1.913
"CombineRandom[Predict[PLECO], LRU]",11293,9667,20960,0.5388,2.404
