Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,16938,4022,20960,0.8081,1.000
Rand,12310,8650,20960,0.5873,2.151
LRU,13375,7585,20960,0.6381,1.886
Marker,13258,7702,20960,0.6325,1.915
OnlineMin,12662,8298,20960,0.6041,2.063
Predict[POPU],13256,7704,20960,0.6324,1.915
PredMark[POPU],13654,7306,20960,0.6514,1.817
LMarker[POPU],13621,7339,20960,0.6499,1.825
LNonMarker[POPU],13667,7293,20960,0.6521,1.813
FollowerRobust[POPUState],13308,7652,20960,0.6349,1.903
PredictiveOnlineMin[POPU]-msf-100,13715,7245,20960,0.6543,1.801
RPB-OnlineMin[POPU]-msf-100-pb-0,13710,7250,20960,0.6541,1.803
RPB-OnlineMin[POPU]-msf-100-pb-1,13775,7185,20960,0.6572,1.786
RPB-OnlineMin[POPU]-msf-100-pb-2,13771,7189,20960,0.657,1.787
RPB-OnlineMin[POPU]-msf-100-pb-4,13795,7165,20960,0.6582,1.781
RPB-OnlineMin[POPU]-msf-100-pb-8,13803,7157,20960,0.6585,1.779
RPB-OnlineMin[POPU]-msf-100-pb-16,13802,7158,20960,0.6585,1.780
RPB-OnlineMin-CF[POPU]-msf-100-pb-0,13734,7226,20960,0.6552,1.797
RPB-OnlineMin-CF[POPU]-msf-100-pb-1,13679,7281,20960,0.6526,1.810
RPB-OnlineMin-CF[POPU]-msf-100-pb-2,13717,7243,20960,0.6544,1.801
RPB-OnlineMin-CF[POPU]-msf-100-pb-4,13725,7235,20960,0.6548,1.799
RPB-OnlineMin-CF[POPU]-msf-100-pb-8,13732,7228,20960,0.6552,1.797
RPB-OnlineMin-CF[POPU]-msf-100-pb-16,13784,7176,20960,0.6576,1.784
RPB-OM-HC[POPU]-msf-100-pb-0,13773,7187,20960,0.6571,1.787
RPB-OM-HC[POPU]-msf-100-pb-1,13747,7213,20960,0.6559,1.793
RPB-OM-HC[POPU]-msf-100-pb-2,13788,7172,20960,0.6578,1.783
RPB-OM-HC[POPU]-msf-100-pb-4,13802,7158,20960,0.6585,1.780
RPB-OM-HC[POPU]-msf-100-pb-8,13802,7158,20960,0.6585,1.780
RPB-OM-HC[POPU]-msf-100-pb-16,13802,7158,20960,0.6585,1.780
RPB-OM-S[POPU]-msf-100-pb-0,13671,7289,20960,0.6522,1.812
RPB-OM-S[POPU]-msf-100-pb-1,13751,7209,20960,0.6561,1.792
RPB-OM-S[POPU]-msf-100-pb-2,13790,7170,20960,0.6579,1.783
RPB-OM-S[POPU]-msf-100-pb-4,13808,7152,20960,0.6588,1.778
RPB-OM-S[POPU]-msf-100-pb-8,13804,7156,20960,0.6586,1.779
RPB-OM-S[POPU]-msf-100-pb-16,13802,7158,20960,0.6585,1.780
"CombDet[Predict[POPU], LRU]",13677,7283,20960,0.6525,1.811
"CombineRandom[Predict[POPU], LRU]",13288,7672,20960,0.634,1.908
