Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,9348,18396,27744,0.3369,1.000
Rand,1211,26533,27744,0.0436,1.442
LRU,0,27744,27744,0.0,1.508
Marker,338,27406,27744,0.0122,1.490
OnlineMin,1645,26099,27744,0.0593,1.419
Predict[LRB],7837,19907,27744,0.2825,1.082
Mark0[LRB],6951,20793,27744,0.2505,1.130
PredictiveOnlineMin[LRB]-msf-100,6823,20921,27744,0.2459,1.137
RPB-OnlineMin[LRB]-msf-100-pb-0,6903,20841,27744,0.2488,1.133
RPB-OnlineMin[LRB]-msf-100-pb-1,7006,20738,27744,0.2525,1.127
RPB-OnlineMin[LRB]-msf-100-pb-2,6920,20824,27744,0.2494,1.132
RPB-OnlineMin[LRB]-msf-100-pb-4,7024,20720,27744,0.2532,1.126
"CombDet[Predict[LRB], LRU]",7754,19990,27744,0.2795,1.087
"CombineRandom[Predict[LRB], LRU]",7831,19913,27744,0.2823,1.082
