Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,9348,18396,27744,0.3369,1.000
Rand,1216,26528,27744,0.0438,1.442
LRU,0,27744,27744,0.0,1.508
Marker,336,27408,27744,0.0121,1.490
OnlineMin,1690,26054,27744,0.0609,1.416
Predict[PLECO],1075,26669,27744,0.0387,1.450
PredMark[PLECO],829,26915,27744,0.0299,1.463
LMarker[PLECO],829,26915,27744,0.0299,1.463
LNonMarker[PLECO],818,26926,27744,0.0295,1.464
FollowerRobust[PLECOState],804,26940,27744,0.029,1.464
PredictiveOnlineMin[PLECO]-msf-100,4296,23448,27744,0.1548,1.275
RPB-OnlineMin[PLECO]-msf-100-pb-0,4242,23502,27744,0.1529,1.278
RPB-OnlineMin[PLECO]-msf-100-pb-1,4781,22963,27744,0.1723,1.248
RPB-OnlineMin[PLECO]-msf-100-pb-2,4835,22909,27744,0.1743,1.245
RPB-OnlineMin[PLECO]-msf-100-pb-4,4845,22899,27744,0.1746,1.245
RPB-OnlineMin[PLECO]-msf-100-pb-8,4845,22899,27744,0.1746,1.245
RPB-OnlineMin[PLECO]-msf-100-pb-16,4845,22899,27744,0.1746,1.245
RPB-OM-A[PLECO]-msf-100-pb-0,4276,23468,27744,0.1541,1.276
RPB-OM-A[PLECO]-msf-100-pb-1,4253,23491,27744,0.1533,1.277
RPB-OM-A[PLECO]-msf-100-pb-2,4233,23511,27744,0.1526,1.278
RPB-OM-A[PLECO]-msf-100-pb-4,4214,23530,27744,0.1519,1.279
RPB-OM-A[PLECO]-msf-100-pb-8,4287,23457,27744,0.1545,1.275
RPB-OM-A[PLECO]-msf-100-pb-16,4255,23489,27744,0.1534,1.277
RPB-OM-A-sum[PLECO]-msf-100-pb-0,4307,23437,27744,0.1552,1.274
RPB-OM-A-sum[PLECO]-msf-100-pb-1,4274,23470,27744,0.1541,1.276
RPB-OM-A-sum[PLECO]-msf-100-pb-4,4328,23416,27744,0.156,1.273
RPB-OM-A-sum[PLECO]-msf-100-pb-16,4295,23449,27744,0.1548,1.275
RPB-OM-A-pr[PLECO]-msf-100-pb-0,4284,23460,27744,0.1544,1.275
RPB-OM-A-pr[PLECO]-msf-100-pb-1,4283,23461,27744,0.1544,1.275
RPB-OM-A-pr[PLECO]-msf-100-pb-4,4298,23446,27744,0.1549,1.275
RPB-OM-A-pr[PLECO]-msf-100-pb-16,4228,23516,27744,0.1524,1.278
RPB-OM-B[PLECO]-msf-100-pb-0-c-2.0,4227,23517,27744,0.1524,1.278
RPB-OM-B[PLECO]-msf-100-pb-1-c-2.0,4240,23504,27744,0.1528,1.278
RPB-OM-B[PLECO]-msf-100-pb-4-c-2.0,4230,23514,27744,0.1525,1.278
RPB-OM-B[PLECO]-msf-100-pb-16-c-2.0,4287,23457,27744,0.1545,1.275
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.5,4264,23480,27744,0.1537,1.276
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.2,4261,23483,27744,0.1536,1.277
"CombDet[Predict[PLECO], LRU]",1075,26669,27744,0.0387,1.450
"CombineRandom[Predict[PLECO], LRU]",1075,26669,27744,0.0387,1.450
