Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,9348,18396,27744,0.3369,1.000
Rand,1203,26541,27744,0.0434,1.443
LRU,0,27744,27744,0.0,1.508
Marker,341,27403,27744,0.0123,1.490
OnlineMin,1713,26031,27744,0.0617,1.415
Predict[POPU],3879,23865,27744,0.1398,1.297
PredMark[POPU],937,26807,27744,0.0338,1.457
LMarker[POPU],938,26806,27744,0.0338,1.457
LNonMarker[POPU],924,26820,27744,0.0333,1.458
FollowerRobust[POPUState],1218,26526,27744,0.0439,1.442
PredictiveOnlineMin[POPU]-msf-100,6917,20827,27744,0.2493,1.132
RPB-OnlineMin[POPU]-msf-100-pb-0,6922,20822,27744,0.2495,1.132
RPB-OnlineMin[POPU]-msf-100-pb-1,7556,20188,27744,0.2723,1.097
RPB-OnlineMin[POPU]-msf-100-pb-2,7598,20146,27744,0.2739,1.095
RPB-OnlineMin[POPU]-msf-100-pb-4,7598,20146,27744,0.2739,1.095
RPB-OnlineMin[POPU]-msf-100-pb-8,7598,20146,27744,0.2739,1.095
RPB-OnlineMin[POPU]-msf-100-pb-16,7598,20146,27744,0.2739,1.095
RPB-OM-A[POPU]-msf-100-pb-0,6960,20784,27744,0.2509,1.130
RPB-OM-A[POPU]-msf-100-pb-1,6911,20833,27744,0.2491,1.132
RPB-OM-A[POPU]-msf-100-pb-2,6972,20772,27744,0.2513,1.129
RPB-OM-A[POPU]-msf-100-pb-4,6945,20799,27744,0.2503,1.131
RPB-OM-A[POPU]-msf-100-pb-8,6958,20786,27744,0.2508,1.130
RPB-OM-A[POPU]-msf-100-pb-16,7079,20665,27744,0.2552,1.123
"CombDet[Predict[POPU], LRU]",3879,23865,27744,0.1398,1.297
"CombineRandom[Predict[POPU], LRU]",3879,23865,27744,0.1398,1.297
