Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,11039,79393,90432,0.1221,1.000
Rand,3565,86867,90432,0.0394,1.094
LRU,2601,87831,90432,0.0288,1.106
Marker,3676,86756,90432,0.0406,1.093
OnlineMin,3438,86994,90432,0.038,1.096
Predict[LRB],7692,82740,90432,0.0851,1.042
Mark0[LRB],6563,83869,90432,0.0726,1.056
PredictiveOnlineMin[LRB]-msf-100,7989,82443,90432,0.0883,1.038
RPB-OnlineMin[LRB]-msf-100-pb-0,7988,82444,90432,0.0883,1.038
RPB-OnlineMin[LRB]-msf-100-pb-1,7977,82455,90432,0.0882,1.039
RPB-OnlineMin[LRB]-msf-100-pb-2,7932,82500,90432,0.0877,1.039
RPB-OnlineMin[LRB]-msf-100-pb-4,7960,82472,90432,0.088,1.039
"CombDet[Predict[LRB], LRU]",7775,82657,90432,0.086,1.041
"CombineRandom[Predict[LRB], LRU]",7800,82632,90432,0.0863,1.041
