Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,11039,79393,90432,0.1221,1.000
Rand,3592,86840,90432,0.0397,1.094
LRU,2601,87831,90432,0.0288,1.106
Marker,3712,86720,90432,0.041,1.092
OnlineMin,3516,86916,90432,0.0389,1.095
Predict[PLECO],314,90118,90432,0.0035,1.135
PredMark[PLECO],4245,86187,90432,0.0469,1.086
LMarker[PLECO],4245,86187,90432,0.0469,1.086
LNonMarker[PLECO],3998,86434,90432,0.0442,1.089
FollowerRobust[PLECOState],3825,86607,90432,0.0423,1.091
PredictiveOnlineMin[PLECO]-msf-100,1086,89346,90432,0.012,1.125
RPB-OnlineMin[PLECO]-msf-100-pb-0,1085,89347,90432,0.012,1.125
RPB-OnlineMin[PLECO]-msf-100-pb-1,1108,89324,90432,0.0123,1.125
RPB-OnlineMin[PLECO]-msf-100-pb-2,1109,89323,90432,0.0123,1.125
RPB-OnlineMin[PLECO]-msf-100-pb-4,1106,89326,90432,0.0122,1.125
RPB-OnlineMin[PLECO]-msf-100-pb-8,1106,89326,90432,0.0122,1.125
RPB-OnlineMin[PLECO]-msf-100-pb-16,1106,89326,90432,0.0122,1.125
RPB-OnlineMin-CF[PLECO]-msf-100-pb-0,1112,89320,90432,0.0123,1.125
RPB-OnlineMin-CF[PLECO]-msf-100-pb-1,1103,89329,90432,0.0122,1.125
RPB-OnlineMin-CF[PLECO]-msf-100-pb-4,1081,89351,90432,0.012,1.125
RPB-OnlineMin-CF[PLECO]-msf-100-pb-16,1093,89339,90432,0.0121,1.125
RPB-OM-A[PLECO]-msf-100-pb-0,1092,89340,90432,0.0121,1.125
RPB-OM-A[PLECO]-msf-100-pb-1,1089,89343,90432,0.012,1.125
RPB-OM-A[PLECO]-msf-100-pb-2,1092,89340,90432,0.0121,1.125
RPB-OM-A[PLECO]-msf-100-pb-4,1094,89338,90432,0.0121,1.125
RPB-OM-A[PLECO]-msf-100-pb-8,1091,89341,90432,0.0121,1.125
RPB-OM-A[PLECO]-msf-100-pb-16,1082,89350,90432,0.012,1.125
"CombDet[Predict[PLECO], LRU]",2458,87974,90432,0.0272,1.108
"CombineRandom[Predict[PLECO], LRU]",613,89819,90432,0.0068,1.131
