Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,11039,79393,90432,0.1221,1.000
Rand,3611,86821,90432,0.0399,1.094
LRU,2601,87831,90432,0.0288,1.106
Marker,3674,86758,90432,0.0406,1.093
OnlineMin,3439,86993,90432,0.038,1.096
Predict[POPU],340,90092,90432,0.0038,1.135
PredMark[POPU],3748,86684,90432,0.0414,1.092
LMarker[POPU],3745,86687,90432,0.0414,1.092
LNonMarker[POPU],3530,86902,90432,0.039,1.095
FollowerRobust[POPUState],3761,86671,90432,0.0416,1.092
PredictiveOnlineMin[POPU]-msf-100,839,89593,90432,0.0093,1.128
RPB-OnlineMin[POPU]-msf-100-pb-0,811,89621,90432,0.009,1.129
RPB-OnlineMin[POPU]-msf-100-pb-1,865,89567,90432,0.0096,1.128
RPB-OnlineMin[POPU]-msf-100-pb-2,872,89560,90432,0.0096,1.128
RPB-OnlineMin[POPU]-msf-100-pb-4,877,89555,90432,0.0097,1.128
RPB-OnlineMin[POPU]-msf-100-pb-8,878,89554,90432,0.0097,1.128
RPB-OnlineMin[POPU]-msf-100-pb-16,878,89554,90432,0.0097,1.128
RPB-OnlineMin-CF[POPU]-msf-100-pb-0,823,89609,90432,0.0091,1.129
RPB-OnlineMin-CF[POPU]-msf-100-pb-1,840,89592,90432,0.0093,1.128
RPB-OnlineMin-CF[POPU]-msf-100-pb-2,828,89604,90432,0.0092,1.129
RPB-OnlineMin-CF[POPU]-msf-100-pb-4,837,89595,90432,0.0093,1.128
RPB-OnlineMin-CF[POPU]-msf-100-pb-8,820,89612,90432,0.0091,1.129
RPB-OnlineMin-CF[POPU]-msf-100-pb-16,815,89617,90432,0.009,1.129
RPB-OM-HC[POPU]-msf-100-pb-0,824,89608,90432,0.0091,1.129
RPB-OM-HC[POPU]-msf-100-pb-1,870,89562,90432,0.0096,1.128
RPB-OM-HC[POPU]-msf-100-pb-2,879,89553,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-4,877,89555,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-8,878,89554,90432,0.0097,1.128
RPB-OM-HC[POPU]-msf-100-pb-16,878,89554,90432,0.0097,1.128
RPB-OM-S[POPU]-msf-100-pb-0,814,89618,90432,0.009,1.129
RPB-OM-S[POPU]-msf-100-pb-1,854,89578,90432,0.0094,1.128
RPB-OM-S[POPU]-msf-100-pb-2,876,89556,90432,0.0097,1.128
RPB-OM-S[POPU]-msf-100-pb-4,877,89555,90432,0.0097,1.128
RPB-OM-S[POPU]-msf-100-pb-8,878,89554,90432,0.0097,1.128
RPB-OM-S[POPU]-msf-100-pb-16,878,89554,90432,0.0097,1.128
"CombDet[Predict[POPU], LRU]",2473,87959,90432,0.0273,1.108
"CombineRandom[Predict[POPU], LRU]",660,89772,90432,0.0073,1.131
