Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,24274,73486,97760,0.2483,1.000
Rand,2122,95638,97760,0.0217,1.301
LRU,0,97760,97760,0.0,1.330
Marker,21,97739,97760,0.0002,1.330
OnlineMin,1835,95925,97760,0.0188,1.305
Predict[LRB],14656,83104,97760,0.1499,1.131
Mark0[LRB],8977,88783,97760,0.0918,1.208
PredictiveOnlineMin[LRB]-msf-100,9202,88558,97760,0.0941,1.205
RPB-OnlineMin[LRB]-msf-100-pb-0,9214,88546,97760,0.0943,1.205
RPB-OnlineMin[LRB]-msf-100-pb-1,8982,88778,97760,0.0919,1.208
RPB-OnlineMin[LRB]-msf-100-pb-2,8952,88808,97760,0.0916,1.209
RPB-OnlineMin[LRB]-msf-100-pb-4,8947,88813,97760,0.0915,1.209
"CombDet[Predict[LRB], LRU]",14656,83104,97760,0.1499,1.131
"CombineRandom[Predict[LRB], LRU]",14703,83057,97760,0.1504,1.130
