Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,24274,73486,97760,0.2483,1.000
Rand,2137,95623,97760,0.0219,1.301
LRU,0,97760,97760,0.0,1.330
Marker,27,97733,97760,0.0003,1.330
OnlineMin,1805,95955,97760,0.0185,1.306
Predict[PLECO],463,97297,97760,0.0047,1.324
PredMark[PLECO],113,97647,97760,0.0012,1.329
LMarker[PLECO],113,97647,97760,0.0012,1.329
LNonMarker[PLECO],117,97643,97760,0.0012,1.329
FollowerRobust[PLECOState],612,97148,97760,0.0063,1.322
PredictiveOnlineMin[PLECO]-msf-100,10608,87152,97760,0.1085,1.186
RPB-OnlineMin[PLECO]-msf-100-pb-0,10595,87165,97760,0.1084,1.186
RPB-OnlineMin[PLECO]-msf-100-pb-1,10598,87162,97760,0.1084,1.186
RPB-OnlineMin[PLECO]-msf-100-pb-2,10594,87166,97760,0.1084,1.186
RPB-OnlineMin[PLECO]-msf-100-pb-4,10584,87176,97760,0.1083,1.186
RPB-OnlineMin[PLECO]-msf-100-pb-8,10584,87176,97760,0.1083,1.186
RPB-OnlineMin[PLECO]-msf-100-pb-16,10584,87176,97760,0.1083,1.186
RPB-OnlineMin-CF[PLECO]-msf-100-pb-0,10603,87157,97760,0.1085,1.186
RPB-OnlineMin-CF[PLECO]-msf-100-pb-1,10603,87157,97760,0.1085,1.186
RPB-OnlineMin-CF[PLECO]-msf-100-pb-4,10595,87165,97760,0.1084,1.186
RPB-OnlineMin-CF[PLECO]-msf-100-pb-16,10593,87167,97760,0.1084,1.186
RPB-OM-A[PLECO]-msf-100-pb-0,10608,87152,97760,0.1085,1.186
RPB-OM-A[PLECO]-msf-100-pb-1,10591,87169,97760,0.1083,1.186
RPB-OM-A[PLECO]-msf-100-pb-2,10593,87167,97760,0.1084,1.186
RPB-OM-A[PLECO]-msf-100-pb-4,10602,87158,97760,0.1084,1.186
RPB-OM-A[PLECO]-msf-100-pb-8,10590,87170,97760,0.1083,1.186
RPB-OM-A[PLECO]-msf-100-pb-16,10602,87158,97760,0.1084,1.186
"CombDet[Predict[PLECO], LRU]",463,97297,97760,0.0047,1.324
"CombineRandom[Predict[PLECO], LRU]",463,97297,97760,0.0047,1.324
