Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,24274,73486,97760,0.2483,1.000
Rand,2069,95691,97760,0.0212,1.302
LRU,0,97760,97760,0.0,1.330
Marker,26,97734,97760,0.0003,1.330
OnlineMin,1867,95893,97760,0.0191,1.305
Predict[POPU],463,97297,97760,0.0047,1.324
PredMark[POPU],91,97669,97760,0.0009,1.329
LMarker[POPU],90,97670,97760,0.0009,1.329
LNonMarker[POPU],112,97648,97760,0.0011,1.329
FollowerRobust[POPUState],629,97131,97760,0.0064,1.322
PredictiveOnlineMin[POPU]-msf-100,3396,94364,97760,0.0347,1.284
RPB-OnlineMin[POPU]-msf-100-pb-0,3379,94381,97760,0.0346,1.284
RPB-OnlineMin[POPU]-msf-100-pb-1,3278,94482,97760,0.0335,1.286
RPB-OnlineMin[POPU]-msf-100-pb-2,3202,94558,97760,0.0328,1.287
RPB-OnlineMin[POPU]-msf-100-pb-4,3163,94597,97760,0.0324,1.287
RPB-OnlineMin[POPU]-msf-100-pb-8,3163,94597,97760,0.0324,1.287
RPB-OnlineMin[POPU]-msf-100-pb-16,3163,94597,97760,0.0324,1.287
"CombDet[Predict[POPU], LRU]",463,97297,97760,0.0047,1.324
"CombineRandom[Predict[POPU], LRU]",463,97297,97760,0.0047,1.324
