Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,27637,61867,89504,0.3088,1.000
Rand,8552,80952,89504,0.0955,1.308
LRU,8493,81011,89504,0.0949,1.309
Marker,8349,81155,89504,0.0933,1.312
OnlineMin,8753,80751,89504,0.0978,1.305
Predict[LRB],18151,71353,89504,0.2028,1.153
Mark0[LRB],19636,69868,89504,0.2194,1.129
PredictiveOnlineMin[LRB]-msf-100,17761,71743,89504,0.1984,1.160
RPB-OnlineMin[LRB]-msf-100-pb-0,17703,71801,89504,0.1978,1.161
RPB-OnlineMin[LRB]-msf-100-pb-1,18680,70824,89504,0.2087,1.145
RPB-OnlineMin[LRB]-msf-100-pb-2,18778,70726,89504,0.2098,1.143
RPB-OnlineMin[LRB]-msf-100-pb-4,18835,70669,89504,0.2104,1.142
"CombDet[Predict[LRB], LRU]",18071,71433,89504,0.2019,1.155
"CombineRandom[Predict[LRB], LRU]",17981,71523,89504,0.2009,1.156
