Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,27637,61867,89504,0.3088,1.000
Rand,8544,80960,89504,0.0955,1.309
LRU,8493,81011,89504,0.0949,1.309
Marker,8380,81124,89504,0.0936,1.311
OnlineMin,8692,80812,89504,0.0971,1.306
Predict[PLECO],6223,83281,89504,0.0695,1.346
PredMark[PLECO],8496,81008,89504,0.0949,1.309
LMarker[PLECO],8462,81042,89504,0.0945,1.310
LNonMarker[PLECO],8932,80572,89504,0.0998,1.302
FollowerRobust[PLECOState],9473,80031,89504,0.1058,1.294
PredictiveOnlineMin[PLECO]-msf-100,14986,74518,89504,0.1674,1.204
RPB-OnlineMin[PLECO]-msf-100-pb-0,14976,74528,89504,0.1673,1.205
RPB-OnlineMin[PLECO]-msf-100-pb-1,15008,74496,89504,0.1677,1.204
RPB-OnlineMin[PLECO]-msf-100-pb-2,14960,74544,89504,0.1671,1.205
RPB-OnlineMin[PLECO]-msf-100-pb-4,14989,74515,89504,0.1675,1.204
RPB-OnlineMin[PLECO]-msf-100-pb-8,14981,74523,89504,0.1674,1.205
RPB-OnlineMin[PLECO]-msf-100-pb-16,15014,74490,89504,0.1677,1.204
"CombDet[Predict[PLECO], LRU]",8872,80632,89504,0.0991,1.303
"CombineRandom[Predict[PLECO], LRU]",7157,82347,89504,0.08,1.331
