Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,27637,61867,89504,0.3088,1.000
Rand,8694,80810,89504,0.0971,1.306
LRU,8493,81011,89504,0.0949,1.309
Marker,8418,81086,89504,0.0941,1.311
OnlineMin,8575,80929,89504,0.0958,1.308
Predict[POPU],9701,79803,89504,0.1084,1.290
PredMark[POPU],9862,79642,89504,0.1102,1.287
LMarker[POPU],9866,79638,89504,0.1102,1.287
LNonMarker[POPU],10173,79331,89504,0.1137,1.282
FollowerRobust[POPUState],10504,79000,89504,0.1174,1.277
PredictiveOnlineMin[POPU]-msf-100,16027,73477,89504,0.1791,1.188
RPB-OnlineMin[POPU]-msf-100-pb-0,16080,73424,89504,0.1797,1.187
RPB-OnlineMin[POPU]-msf-100-pb-1,15796,73708,89504,0.1765,1.191
RPB-OnlineMin[POPU]-msf-100-pb-2,15747,73757,89504,0.1759,1.192
RPB-OnlineMin[POPU]-msf-100-pb-4,15735,73769,89504,0.1758,1.192
RPB-OnlineMin[POPU]-msf-100-pb-8,15734,73770,89504,0.1758,1.192
RPB-OnlineMin[POPU]-msf-100-pb-16,15734,73770,89504,0.1758,1.192
RPB-OM-A[POPU]-msf-100-pb-0,16052,73452,89504,0.1793,1.187
RPB-OM-A[POPU]-msf-100-pb-1,16033,73471,89504,0.1791,1.188
RPB-OM-A[POPU]-msf-100-pb-2,16068,73436,89504,0.1795,1.187
RPB-OM-A[POPU]-msf-100-pb-4,16053,73451,89504,0.1794,1.187
RPB-OM-A[POPU]-msf-100-pb-8,16106,73398,89504,0.1799,1.186
RPB-OM-A[POPU]-msf-100-pb-16,16077,73427,89504,0.1796,1.187
"CombDet[Predict[POPU], LRU]",9323,80181,89504,0.1042,1.296
"CombineRandom[Predict[POPU], LRU]",9892,79612,89504,0.1105,1.287
