Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,3840,68640,72480,0.053,1.000
Rand,0,72480,72480,0.0,1.056
LRU,0,72480,72480,0.0,1.056
Marker,0,72480,72480,0.0,1.056
OnlineMin,0,72480,72480,0.0,1.056
Predict[LRB],0,72480,72480,0.0,1.056
Mark0[LRB],0,72480,72480,0.0,1.056
PredictiveOnlineMin[LRB]-msf-100,0,72480,72480,0.0,1.056
RPB-OnlineMin[LRB]-msf-100-pb-0,0,72480,72480,0.0,1.056
RPB-OnlineMin[LRB]-msf-100-pb-1,0,72480,72480,0.0,1.056
RPB-OnlineMin[LRB]-msf-100-pb-2,0,72480,72480,0.0,1.056
RPB-OnlineMin[LRB]-msf-100-pb-4,0,72480,72480,0.0,1.056
"CombDet[Predict[LRB], LRU]",0,72480,72480,0.0,1.056
"CombineRandom[Predict[LRB], LRU]",0,72480,72480,0.0,1.056
