Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,3840,68640,72480,0.053,1.000
Rand,0,72480,72480,0.0,1.056
LRU,0,72480,72480,0.0,1.056
Marker,0,72480,72480,0.0,1.056
OnlineMin,0,72480,72480,0.0,1.056
Predict[POPU],3840,68640,72480,0.053,1.000
PredMark[POPU],0,72480,72480,0.0,1.056
LMarker[POPU],0,72480,72480,0.0,1.056
LNonMarker[POPU],0,72480,72480,0.0,1.056
FollowerRobust[POPUState],960,71520,72480,0.0132,1.042
PredictiveOnlineMin[POPU]-msf-100,2820,69660,72480,0.0389,1.015
RPB-OnlineMin[POPU]-msf-100-pb-0,2778,69702,72480,0.0383,1.015
RPB-OnlineMin[POPU]-msf-100-pb-1,2935,69545,72480,0.0405,1.013
RPB-OnlineMin[POPU]-msf-100-pb-2,3123,69357,72480,0.0431,1.010
RPB-OnlineMin[POPU]-msf-100-pb-4,3234,69246,72480,0.0446,1.009
RPB-OnlineMin[POPU]-msf-100-pb-8,3456,69024,72480,0.0477,1.006
RPB-OnlineMin[POPU]-msf-100-pb-16,3456,69024,72480,0.0477,1.006
RPB-OM-A[POPU]-msf-100-pb-0,2824,69656,72480,0.039,1.015
RPB-OM-A[POPU]-msf-100-pb-1,2966,69514,72480,0.0409,1.013
RPB-OM-A[POPU]-msf-100-pb-2,3171,69309,72480,0.0437,1.010
RPB-OM-A[POPU]-msf-100-pb-4,3228,69252,72480,0.0445,1.009
RPB-OM-A[POPU]-msf-100-pb-8,3456,69024,72480,0.0477,1.006
RPB-OM-A[POPU]-msf-100-pb-16,3456,69024,72480,0.0477,1.006
"CombDet[Predict[POPU], LRU]",3840,68640,72480,0.053,1.000
"CombineRandom[Predict[POPU], LRU]",3840,68640,72480,0.053,1.000
