Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,165176,205512,370688,0.4456,1.000
Rand,76376,294312,370688,0.206,1.432
LRU,100408,270280,370688,0.2709,1.315
Marker,94874,275814,370688,0.2559,1.342
OnlineMin,73870,296818,370688,0.1993,1.444
Predict[LRB],157508,213180,370688,0.4249,1.037
Mark0[LRB],161437,209251,370688,0.4355,1.018
PredictiveOnlineMin[LRB]-msf-100,160681,210007,370688,0.4335,1.022
RPB-OnlineMin[LRB]-msf-100-pb-0,160839,209849,370688,0.4339,1.021
RPB-OnlineMin[LRB]-msf-100-pb-1,161010,209678,370688,0.4344,1.020
RPB-OnlineMin[LRB]-msf-100-pb-2,161011,209677,370688,0.4344,1.020
RPB-OnlineMin[LRB]-msf-100-pb-4,161079,209609,370688,0.4345,1.020
"CombDet[Predict[LRB], LRU]",157703,212985,370688,0.4254,1.036
"CombineRandom[Predict[LRB], LRU]",157574,213114,370688,0.4251,1.037
