Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,165176,205512,370688,0.4456,1.000
Rand,76366,294322,370688,0.206,1.432
LRU,100408,270280,370688,0.2709,1.315
Marker,94980,275708,370688,0.2562,1.342
OnlineMin,71296,299392,370688,0.1923,1.457
Predict[PLECO],33680,337008,370688,0.0909,1.640
PredMark[PLECO],96372,274316,370688,0.26,1.335
LMarker[PLECO],96436,274252,370688,0.2602,1.334
LNonMarker[PLECO],98800,271888,370688,0.2665,1.323
FollowerRobust[PLECOState],94117,276571,370688,0.2539,1.346
PredictiveOnlineMin[PLECO]-msf-100,130734,239954,370688,0.3527,1.168
RPB-OnlineMin[PLECO]-msf-100-pb-0,130863,239825,370688,0.353,1.167
RPB-OnlineMin[PLECO]-msf-100-pb-1,131277,239411,370688,0.3541,1.165
RPB-OnlineMin[PLECO]-msf-100-pb-2,130573,240115,370688,0.3522,1.168
RPB-OnlineMin[PLECO]-msf-100-pb-4,131771,238917,370688,0.3555,1.163
RPB-OnlineMin[PLECO]-msf-100-pb-8,131596,239092,370688,0.355,1.163
RPB-OnlineMin[PLECO]-msf-100-pb-16,131725,238963,370688,0.3554,1.163
RPB-OM-A[PLECO]-msf-100-pb-0,131436,239252,370688,0.3546,1.164
RPB-OM-A[PLECO]-msf-100-pb-1,131208,239480,370688,0.354,1.165
RPB-OM-A[PLECO]-msf-100-pb-2,131485,239203,370688,0.3547,1.164
RPB-OM-A[PLECO]-msf-100-pb-4,131353,239335,370688,0.3543,1.165
RPB-OM-A[PLECO]-msf-100-pb-8,131310,239378,370688,0.3542,1.165
RPB-OM-A[PLECO]-msf-100-pb-16,131203,239485,370688,0.3539,1.165
"CombDet[Predict[PLECO], LRU]",100385,270303,370688,0.2708,1.315
"CombineRandom[Predict[PLECO], LRU]",91842,278846,370688,0.2478,1.357
