Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,165176,205512,370688,0.4456,1.000
Rand,76086,294602,370688,0.2053,1.434
LRU,100408,270280,370688,0.2709,1.315
Marker,95147,275541,370688,0.2567,1.341
OnlineMin,71857,298831,370688,0.1938,1.454
Predict[POPU],110263,260425,370688,0.2975,1.267
PredMark[POPU],116627,254061,370688,0.3146,1.236
LMarker[POPU],116592,254096,370688,0.3145,1.236
LNonMarker[POPU],118481,252207,370688,0.3196,1.227
FollowerRobust[POPUState],114427,256261,370688,0.3087,1.247
PredictiveOnlineMin[POPU]-msf-100,162171,208517,370688,0.4375,1.015
RPB-OnlineMin[POPU]-msf-100-pb-0,162086,208602,370688,0.4373,1.015
RPB-OnlineMin[POPU]-msf-100-pb-1,162253,208435,370688,0.4377,1.014
RPB-OnlineMin[POPU]-msf-100-pb-2,162247,208441,370688,0.4377,1.014
RPB-OnlineMin[POPU]-msf-100-pb-4,162243,208445,370688,0.4377,1.014
RPB-OnlineMin[POPU]-msf-100-pb-8,162243,208445,370688,0.4377,1.014
RPB-OnlineMin[POPU]-msf-100-pb-16,162243,208445,370688,0.4377,1.014
RPB-OnlineMin-CF[POPU]-msf-100-pb-0,162114,208574,370688,0.4373,1.015
RPB-OnlineMin-CF[POPU]-msf-100-pb-1,162147,208541,370688,0.4374,1.015
RPB-OnlineMin-CF[POPU]-msf-100-pb-2,162123,208565,370688,0.4374,1.015
RPB-OnlineMin-CF[POPU]-msf-100-pb-4,162099,208589,370688,0.4373,1.015
RPB-OnlineMin-CF[POPU]-msf-100-pb-8,161990,208698,370688,0.437,1.016
RPB-OnlineMin-CF[POPU]-msf-100-pb-16,162016,208672,370688,0.4371,1.015
RPB-OM-HC[POPU]-msf-100-pb-0,162300,208388,370688,0.4378,1.014
RPB-OM-HC[POPU]-msf-100-pb-1,162246,208442,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-2,162243,208445,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-4,162243,208445,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-8,162243,208445,370688,0.4377,1.014
RPB-OM-HC[POPU]-msf-100-pb-16,162243,208445,370688,0.4377,1.014
RPB-OM-S[POPU]-msf-100-pb-0,162147,208541,370688,0.4374,1.015
RPB-OM-S[POPU]-msf-100-pb-1,162239,208449,370688,0.4377,1.014
RPB-OM-S[POPU]-msf-100-pb-2,162243,208445,370688,0.4377,1.014
RPB-OM-S[POPU]-msf-100-pb-4,162243,208445,370688,0.4377,1.014
RPB-OM-S[POPU]-msf-100-pb-8,162243,208445,370688,0.4377,1.014
RPB-OM-S[POPU]-msf-100-pb-16,162243,208445,370688,0.4377,1.014
"CombDet[Predict[POPU], LRU]",119039,251649,370688,0.3211,1.224
"CombineRandom[Predict[POPU], LRU]",112889,257799,370688,0.3045,1.254
