Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,960,68640,69600,0.0138,1.000
Rand,18,69582,69600,0.0003,1.014
LRU,9,69591,69600,0.0001,1.014
Marker,11,69589,69600,0.0002,1.014
OnlineMin,8,69592,69600,0.0001,1.014
Predict[LRB],664,68936,69600,0.0095,1.004
Mark0[LRB],635,68965,69600,0.0091,1.005
PredictiveOnlineMin[LRB]-msf-100,346,69254,69600,0.005,1.009
RPB-OnlineMin[LRB]-msf-100-pb-0,348,69252,69600,0.005,1.009
RPB-OnlineMin[LRB]-msf-100-pb-1,381,69219,69600,0.0055,1.008
RPB-OnlineMin[LRB]-msf-100-pb-2,362,69238,69600,0.0052,1.009
RPB-OnlineMin[LRB]-msf-100-pb-4,373,69227,69600,0.0054,1.009
"CombDet[Predict[LRB], LRU]",657,68943,69600,0.0094,1.004
"CombineRandom[Predict[LRB], LRU]",670,68930,69600,0.0096,1.004
