Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,29461,39979,69440,0.4243,1.000
Rand,12192,57248,69440,0.1756,1.432
LRU,14191,55249,69440,0.2044,1.382
Marker,14101,55339,69440,0.2031,1.384
OnlineMin,10928,58512,69440,0.1574,1.464
Predict[LRB],16579,52861,69440,0.2388,1.322
Mark0[LRB],18549,50891,69440,0.2671,1.273
PredictiveOnlineMin[LRB]-msf-100,15744,53696,69440,0.2267,1.343
RPB-OnlineMin[LRB]-msf-100-pb-0,15789,53651,69440,0.2274,1.342
RPB-OnlineMin[LRB]-msf-100-pb-1,16103,53337,69440,0.2319,1.334
RPB-OnlineMin[LRB]-msf-100-pb-2,16159,53281,69440,0.2327,1.333
RPB-OnlineMin[LRB]-msf-100-pb-4,16028,53412,69440,0.2308,1.336
"CombDet[Predict[LRB], LRU]",16385,53055,69440,0.236,1.327
"CombineRandom[Predict[LRB], LRU]",16431,53009,69440,0.2366,1.326
