Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,29461,39979,69440,0.4243,1.000
Rand,12286,57154,69440,0.1769,1.430
LRU,14191,55249,69440,0.2044,1.382
Marker,14128,55312,69440,0.2035,1.384
OnlineMin,10905,58535,69440,0.157,1.464
Predict[PLECO],6832,62608,69440,0.0984,1.566
PredMark[PLECO],14045,55395,69440,0.2023,1.386
LMarker[PLECO],14089,55351,69440,0.2029,1.385
LNonMarker[PLECO],13755,55685,69440,0.1981,1.393
FollowerRobust[PLECOState],13729,55711,69440,0.1977,1.394
PredictiveOnlineMin[PLECO]-msf-100,11020,58420,69440,0.1587,1.461
RPB-OnlineMin[PLECO]-msf-100-pb-0,11020,58420,69440,0.1587,1.461
RPB-OnlineMin[PLECO]-msf-100-pb-1,11031,58409,69440,0.1589,1.461
RPB-OnlineMin[PLECO]-msf-100-pb-2,10987,58453,69440,0.1582,1.462
RPB-OnlineMin[PLECO]-msf-100-pb-4,11079,58361,69440,0.1595,1.460
RPB-OnlineMin[PLECO]-msf-100-pb-8,11020,58420,69440,0.1587,1.461
RPB-OnlineMin[PLECO]-msf-100-pb-16,11015,58425,69440,0.1586,1.461
"CombDet[Predict[PLECO], LRU]",13834,55606,69440,0.1992,1.391
"CombineRandom[Predict[PLECO], LRU]",10868,58572,69440,0.1565,1.465
