Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,29461,39979,69440,0.4243,1.000
Rand,12198,57242,69440,0.1757,1.432
LRU,14191,55249,69440,0.2044,1.382
Marker,14152,55288,69440,0.2038,1.383
OnlineMin,10888,58552,69440,0.1568,1.465
Predict[POPU],11670,57770,69440,0.1681,1.445
PredMark[POPU],15409,54031,69440,0.2219,1.351
LMarker[POPU],15341,54099,69440,0.2209,1.353
LNonMarker[POPU],15457,53983,69440,0.2226,1.350
FollowerRobust[POPUState],14526,54914,69440,0.2092,1.374
PredictiveOnlineMin[POPU]-msf-100,13952,55488,69440,0.2009,1.388
RPB-OnlineMin[POPU]-msf-100-pb-0,13924,55516,69440,0.2005,1.389
RPB-OnlineMin[POPU]-msf-100-pb-1,14001,55439,69440,0.2016,1.387
RPB-OnlineMin[POPU]-msf-100-pb-2,13991,55449,69440,0.2015,1.387
RPB-OnlineMin[POPU]-msf-100-pb-4,13988,55452,69440,0.2014,1.387
RPB-OnlineMin[POPU]-msf-100-pb-8,13983,55457,69440,0.2014,1.387
RPB-OnlineMin[POPU]-msf-100-pb-16,14100,55340,69440,0.2031,1.384
"CombDet[Predict[POPU], LRU]",13706,55734,69440,0.1974,1.394
"CombineRandom[Predict[POPU], LRU]",12404,57036,69440,0.1786,1.427
