Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,30706,10382,41088,0.7473,1.000
Rand,22607,18481,41088,0.5502,1.780
LRU,5236,35852,41088,0.1274,3.453
Marker,17413,23675,41088,0.4238,2.280
OnlineMin,20089,20999,41088,0.4889,2.023
Predict[LRB],23158,17930,41088,0.5636,1.727
Mark0[LRB],17556,23532,41088,0.4273,2.267
PredictiveOnlineMin[LRB]-msf-100,19160,21928,41088,0.4663,2.112
RPB-OnlineMin[LRB]-msf-100-pb-0,19002,22086,41088,0.4625,2.127
RPB-OnlineMin[LRB]-msf-100-pb-1,19184,21904,41088,0.4669,2.110
RPB-OnlineMin[LRB]-msf-100-pb-2,19037,22051,41088,0.4633,2.124
RPB-OnlineMin[LRB]-msf-100-pb-4,19108,21980,41088,0.4651,2.117
"CombDet[Predict[LRB], LRU]",23028,18060,41088,0.5605,1.740
"CombineRandom[Predict[LRB], LRU]",23068,18020,41088,0.5614,1.736
