Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,30706,10382,41088,0.7473,1.000
Rand,22579,18509,41088,0.5495,1.783
LRU,5236,35852,41088,0.1274,3.453
Marker,17359,23729,41088,0.4225,2.286
OnlineMin,19912,21176,41088,0.4846,2.040
Predict[PLECO],27297,13791,41088,0.6644,1.328
PredMark[PLECO],25554,15534,41088,0.6219,1.496
LMarker[PLECO],25307,15781,41088,0.6159,1.520
LNonMarker[PLECO],24217,16871,41088,0.5894,1.625
FollowerRobust[PLECOState],21718,19370,41088,0.5286,1.866
PredictiveOnlineMin[PLECO]-msf-100,29521,11567,41088,0.7185,1.114
RPB-OnlineMin[PLECO]-msf-100-pb-0,29524,11564,41088,0.7186,1.114
RPB-OnlineMin[PLECO]-msf-100-pb-1,29664,11424,41088,0.722,1.100
RPB-OnlineMin[PLECO]-msf-100-pb-2,29680,11408,41088,0.7224,1.099
RPB-OnlineMin[PLECO]-msf-100-pb-4,29683,11405,41088,0.7224,1.099
RPB-OnlineMin[PLECO]-msf-100-pb-8,29683,11405,41088,0.7224,1.099
RPB-OnlineMin[PLECO]-msf-100-pb-16,29683,11405,41088,0.7224,1.099
"CombDet[Predict[PLECO], LRU]",27290,13798,41088,0.6642,1.329
"CombineRandom[Predict[PLECO], LRU]",27297,13791,41088,0.6644,1.328
