Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,30706,10382,41088,0.7473,1.000
Rand,22793,18295,41088,0.5547,1.762
LRU,5236,35852,41088,0.1274,3.453
Marker,17358,23730,41088,0.4225,2.286
OnlineMin,19912,21176,41088,0.4846,2.040
Predict[POPU],29566,11522,41088,0.7196,1.110
PredMark[POPU],24447,16641,41088,0.595,1.603
LMarker[POPU],23540,17548,41088,0.5729,1.690
LNonMarker[POPU],24342,16746,41088,0.5924,1.613
FollowerRobust[POPUState],23996,17092,41088,0.584,1.646
PredictiveOnlineMin[POPU]-msf-100,25096,15992,41088,0.6108,1.540
RPB-OnlineMin[POPU]-msf-100-pb-0,25180,15908,41088,0.6128,1.532
RPB-OnlineMin[POPU]-msf-100-pb-1,26955,14133,41088,0.656,1.361
RPB-OnlineMin[POPU]-msf-100-pb-2,27612,13476,41088,0.672,1.298
RPB-OnlineMin[POPU]-msf-100-pb-4,27924,13164,41088,0.6796,1.268
RPB-OnlineMin[POPU]-msf-100-pb-8,27947,13141,41088,0.6802,1.266
RPB-OnlineMin[POPU]-msf-100-pb-16,27947,13141,41088,0.6802,1.266
"CombDet[Predict[POPU], LRU]",29564,11524,41088,0.7195,1.110
"CombineRandom[Predict[POPU], LRU]",29412,11676,41088,0.7158,1.125
