Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,4915,3725,8640,0.5689,1.000
Rand,3331,5309,8640,0.3855,1.425
LRU,3895,4745,8640,0.4508,1.274
Marker,3754,4886,8640,0.4345,1.312
OnlineMin,3168,5472,8640,0.3667,1.469
Predict[LRB],4470,4170,8640,0.5174,1.119
Mark0[LRB],4402,4238,8640,0.5095,1.138
PredictiveOnlineMin[LRB]-msf-100,4370,4270,8640,0.5058,1.146
RPB-OnlineMin[LRB]-msf-100-pb-0,4364,4276,8640,0.5051,1.148
RPB-OnlineMin[LRB]-msf-100-pb-1,4461,4179,8640,0.5163,1.122
RPB-OnlineMin[LRB]-msf-100-pb-2,4443,4197,8640,0.5142,1.127
RPB-OnlineMin[LRB]-msf-100-pb-4,4435,4205,8640,0.5133,1.129
"CombDet[Predict[LRB], LRU]",4437,4203,8640,0.5135,1.128
"CombineRandom[Predict[LRB], LRU]",4461,4179,8640,0.5163,1.122
