Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,4915,3725,8640,0.5689,1.000
Rand,3341,5299,8640,0.3867,1.423
LRU,3895,4745,8640,0.4508,1.274
Marker,3766,4874,8640,0.4359,1.308
OnlineMin,3197,5443,8640,0.37,1.461
Predict[PLECO],2484,6156,8640,0.2875,1.653
PredMark[PLECO],3635,5005,8640,0.4207,1.344
LMarker[PLECO],3677,4963,8640,0.4256,1.332
LNonMarker[PLECO],3634,5006,8640,0.4206,1.344
FollowerRobust[PLECOState],3672,4968,8640,0.425,1.334
PredictiveOnlineMin[PLECO]-msf-100,3481,5159,8640,0.4029,1.385
RPB-OnlineMin[PLECO]-msf-100-pb-0,3511,5129,8640,0.4064,1.377
RPB-OnlineMin[PLECO]-msf-100-pb-1,3411,5229,8640,0.3948,1.404
RPB-OnlineMin[PLECO]-msf-100-pb-2,3358,5282,8640,0.3887,1.418
RPB-OnlineMin[PLECO]-msf-100-pb-4,3304,5336,8640,0.3824,1.432
RPB-OnlineMin[PLECO]-msf-100-pb-8,3298,5342,8640,0.3817,1.434
RPB-OnlineMin[PLECO]-msf-100-pb-16,3299,5341,8640,0.3818,1.434
RPB-OM-A[PLECO]-msf-100-pb-0,3500,5140,8640,0.4051,1.380
RPB-OM-A[PLECO]-msf-100-pb-1,3445,5195,8640,0.3987,1.395
RPB-OM-A[PLECO]-msf-100-pb-2,3459,5181,8640,0.4003,1.391
RPB-OM-A[PLECO]-msf-100-pb-4,3483,5157,8640,0.4031,1.384
RPB-OM-A[PLECO]-msf-100-pb-8,3429,5211,8640,0.3969,1.399
RPB-OM-A[PLECO]-msf-100-pb-16,3366,5274,8640,0.3896,1.416
RPB-OM-A-sum[PLECO]-msf-100-pb-0,3474,5166,8640,0.4021,1.387
RPB-OM-A-sum[PLECO]-msf-100-pb-1,3481,5159,8640,0.4029,1.385
RPB-OM-A-sum[PLECO]-msf-100-pb-4,3492,5148,8640,0.4042,1.382
RPB-OM-A-sum[PLECO]-msf-100-pb-16,3370,5270,8640,0.39,1.415
RPB-OM-A-pr[PLECO]-msf-100-pb-0,3498,5142,8640,0.4049,1.380
RPB-OM-A-pr[PLECO]-msf-100-pb-1,3452,5188,8640,0.3995,1.393
RPB-OM-A-pr[PLECO]-msf-100-pb-4,3444,5196,8640,0.3986,1.395
RPB-OM-A-pr[PLECO]-msf-100-pb-16,3353,5287,8640,0.3881,1.419
RPB-OM-B[PLECO]-msf-100-pb-0-c-2.0,3492,5148,8640,0.4042,1.382
RPB-OM-B[PLECO]-msf-100-pb-1-c-2.0,3515,5125,8640,0.4068,1.376
RPB-OM-B[PLECO]-msf-100-pb-4-c-2.0,3471,5169,8640,0.4017,1.388
RPB-OM-B[PLECO]-msf-100-pb-16-c-2.0,3377,5263,8640,0.3909,1.413
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.5,3451,5189,8640,0.3994,1.393
RPB-OM-B[PLECO]-msf-100-pb-4-c-1.2,3423,5217,8640,0.3962,1.401
"CombDet[Predict[PLECO], LRU]",3764,4876,8640,0.4356,1.309
"CombineRandom[Predict[PLECO], LRU]",2521,6119,8640,0.2918,1.643
