Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,4915,3725,8640,0.5689,1.000
Rand,3330,5310,8640,0.3854,1.426
LRU,3895,4745,8640,0.4508,1.274
Marker,3737,4903,8640,0.4325,1.316
OnlineMin,3189,5451,8640,0.3691,1.463
Predict[POPU],3077,5563,8640,0.3561,1.493
PredMark[POPU],3888,4752,8640,0.45,1.276
LMarker[POPU],3893,4747,8640,0.4506,1.274
LNonMarker[POPU],3858,4782,8640,0.4465,1.284
FollowerRobust[POPUState],3800,4840,8640,0.4398,1.299
PredictiveOnlineMin[POPU]-msf-100,3802,4838,8640,0.44,1.299
RPB-OnlineMin[POPU]-msf-100-pb-0,3831,4809,8640,0.4434,1.291
RPB-OnlineMin[POPU]-msf-100-pb-1,3784,4856,8640,0.438,1.304
RPB-OnlineMin[POPU]-msf-100-pb-2,3794,4846,8640,0.4391,1.301
RPB-OnlineMin[POPU]-msf-100-pb-4,3776,4864,8640,0.437,1.306
RPB-OnlineMin[POPU]-msf-100-pb-8,3767,4873,8640,0.436,1.308
RPB-OnlineMin[POPU]-msf-100-pb-16,3767,4873,8640,0.436,1.308
"CombDet[Predict[POPU], LRU]",3799,4841,8640,0.4397,1.300
"CombineRandom[Predict[POPU], LRU]",3103,5537,8640,0.3591,1.486
